sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
1fe138a85981a14ef7c46dc7153a853eb91c5945790793cde6e46253f3712ec8,Porno Video,ru.system.android,4E868DEC,6,4,4,2,13,0,0,0,0,2,2,1,0,0,0
c0665cf669261e460424666ec5a37d8f3c9b39acc16af13ba7976b6736f9202a,Minecraft Pocket Edition на андроид последняя версия скачать бес,com.jqepef.edrydg,6C4A0515,7,2,3,9,13,0,1,1,4,4,0,1,0,0,0
27e36f5e139c7091f8a69214c98a7211f55184b6624696c165fae602fbfb6291,成人快播,com.yr.sx,100A5619,20,23,4,7,29,2,6,3,6,20,0,18,0,2,3
e2c2a88b87c3b4ad79a04b0f65d220ecd4b198569d34ee36314b4f839021139f,成人快播,com.yr.sx,56F46788,20,23,4,7,29,3,6,3,8,22,0,24,0,3,6
6ee59d6ee1672078c087ba4963906fe8abc8b8ae90714f3d12640d70d3d4e863,给力节日短信大全,yjc.fcw.holisms.activity,12889083,1,8,0,0,11,2,1,1,2,5,0,1,0,2,2
92f85f2ad0ebdb62e10a33450da487da0fde7ec62c52ad480ff0bdeaad275118,成人快播,com.yr.sx,62DC0011,20,23,4,7,29,2,6,3,6,22,0,20,0,2,2
38e45bac9c896e04895048b7b2c550fe5229de0156e78ae4062eeee6057647c6,Google Flv Android,sjousmptp.qcafmk,518BBDFF,5,1,4,0,11,0,0,0,0,0,27,3,0,0,0
ab49f7625352c9e09e0da03e8d180976752723988704ae292c063897d814bef4,私人影院,com.tphq.myws.tqjg,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
4a0a7342d7a490db276f4e87abc12813a47b4b3c0b8f02a4b09635c7231b15d1,成人快播,com.yr.sx,0F28CD58,20,23,4,7,29,2,6,3,6,23,0,21,0,2,2
67c416085dbb78a42329d9cf2910f6892b007ae94c858e538bad553a20ac1dc9,cartoon_camera_v.1.0.0,tfidwbu.gafacksxbex,518BBDFF,4,1,3,0,13,0,0,0,0,0,0,2,0,0,0
9b4c4acd5922aa94d49cabc64920d661994182f94bd9c1554843bbc7453269bf,成人快播,com.yr.sx,6425760C,20,23,4,7,29,3,3,3,6,13,0,15,0,4,6
08a07519a7a71b44ab05c02add8d9bafde6fda313d935bcec85e008fd1f12aa7,色影快播,com.yongrun.app.sxmn,242DE517,15,22,2,5,24,3,2,3,20,9,0,9,0,3,2
aad61e00e936e14a43b1b038e9fd97430a1c504ac1ce81af40a472910ea80542,成人快播,com.yr.sx,51AF4BEF,20,23,4,7,29,3,6,3,6,20,0,22,0,3,3
379ee98f0f68be0dbf6335a48de220a0b40c7c91c9270d4ccd88ce988395a809,DIY Face Mask Recipe,diyfacemaskrecipe.theacmteam,4CEBD70D,8,32,5,5,5,2,1,1,2,37,0,1,0,2,2
a75c6659168c4ea4859b37893234fd452b2ba2aefb22f2b39f99bc651207ad4d,成人快播,com.yr.sx,525EA4D9,20,23,4,7,29,2,6,3,6,22,0,18,0,2,2
70154d431e9badc3755ec2f7fe9d0f72f6116d58a0343e104270aef5c942cb58,成人快播,com.yr.sx,0402D5B4,20,23,4,7,29,2,6,3,6,21,0,19,0,2,2
ea02d9945975cd64a324102d250a2bfc0d405d5227c1e6f76fcac988d4f5738d,antsmasher.apk,iiinpwje.dgumdgxuidj,4E4C147D,6,1,5,1,27,1,1,1,2,0,23,4,0,1,2
70a3cbd5667ae9154f398c6bd094ef22029c9bb0620485ff10c0800c09714ed7,Google Play,glqfiucvx.ugmfqjada,4E4C147D,5,1,4,1,26,1,1,1,2,0,5,4,0,1,1
063c778a85c09afe53d89b0c5bf4a1279a1ce61f9bacb878ae775c0720d1aa61,Football Logos Quiz,football.logos.quiz.tja,03A8A33B,1,9,0,0,5,0,1,1,2,2,0,1,0,2,0
6754e6bc89cb7fd8024f6948e5cb7b45eee994296571b1baefb442717cde858c, Flv Playe,yhonvqb.qaolckwnvj,518BBDFF,4,1,3,0,21,0,0,0,0,0,20,3,0,0,0
